Logging to ./ppo_tensorboard/PPO_3
------------------------------------------
| rollout/                |              |
|    explained_variance   | 0.94       |
|    learning_rate        | 0.0003     |
|    loss                 | 1.04       |
|    n_updates            | 1790       |
|    policy_gradient_loss | 0.00221    |
|    std                  | 2.22       |
|    value_loss           | 12.4       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 987         |
|    ep_rew_mean          | 623         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 184         |
|    time_elapsed         | 5717        |
|    total_timesteps      | 753664      |
| train/                  |             |
|    approx_kl            | 0.016941722 |
|    clip_fraction        | 0.445       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.32       |
|    explained_variance   | 0.889       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.22        |
|    n_updates            | 1830        |
|    policy_gradient_loss | 0.00526     |
|    std                  | 2.23        |
|    value_loss           | 15.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 987         |
|    ep_rew_mean          | 635         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 188         |
|    time_elapsed         | 5844        |
|    total_timesteps      | 770048      |
| train/                  |             |
|    approx_kl            | 0.019376395 |
|    clip_fraction        | 0.438       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.37       |
|    explained_variance   | 0.94        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.49        |
|    n_updates            | 1870        |
|    policy_gradient_loss | 0.00722     |
|    std                  | 2.28        |
|    value_loss           | 10.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 985         |
|    ep_rew_mean          | 664         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 192         |
|    time_elapsed         | 5969        |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.016741924 |
|    clip_fraction        | 0.425       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.41       |
|    explained_variance   | 0.901       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.8         |
|    n_updates            | 1910        |
|    policy_gradient_loss | 0.0041      |
|    std                  | 2.31        |
|    value_loss           | 10.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 995         |
|    ep_rew_mean          | 682         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 196         |
|    time_elapsed         | 6095        |
|    total_timesteps      | 802816      |
| train/                  |             |
|    approx_kl            | 0.016306276 |
|    clip_fraction        | 0.439       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.42       |
|    explained_variance   | 0.863       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.845       |
|    n_updates            | 1950        |
|    policy_gradient_loss | 0.00335     |
|    std                  | 2.33        |
|    value_loss           | 12.8        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 994        |
|    ep_rew_mean          | 701        |
| time/                   |            |
|    fps                  | 131        |
|    iterations           | 200        |
|    time_elapsed         | 6223       |
|    total_timesteps      | 819200     |
| train/                  |            |
|    approx_kl            | 0.02396853 |
|    clip_fraction        | 0.441      |
|    clip_range           | 0.1        |
|    entropy_loss         | -6.45      |
|    explained_variance   | 0.931      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.48       |
|    n_updates            | 1990       |
|    policy_gradient_loss | 0.00434    |
|    std                  | 2.38       |
|    value_loss           | 9.92       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 995         |
|    ep_rew_mean          | 686         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 204         |
|    time_elapsed         | 6347        |
|    total_timesteps      | 835584      |
| train/                  |             |
|    approx_kl            | 0.011287769 |
|    clip_fraction        | 0.376       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.49       |
|    explained_variance   | 0.948       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.894       |
|    n_updates            | 2030        |
|    policy_gradient_loss | 0.0018      |
|    std                  | 2.43        |
|    value_loss           | 9.59        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 995         |
|    ep_rew_mean          | 695         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 208         |
|    time_elapsed         | 6475        |
|    total_timesteps      | 851968      |
| train/                  |             |
|    approx_kl            | 0.014303923 |
|    clip_fraction        | 0.446       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.54       |
|    explained_variance   | 0.931       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.981       |
|    n_updates            | 2070        |
|    policy_gradient_loss | 0.00572     |
|    std                  | 2.47        |
|    value_loss           | 10.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 989         |
|    ep_rew_mean          | 685         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 212         |
|    time_elapsed         | 6601        |
|    total_timesteps      | 868352      |
| train/                  |             |
|    approx_kl            | 0.010093512 |
|    clip_fraction        | 0.402       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.57       |
|    explained_variance   | 0.867       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.958       |
|    n_updates            | 2110        |
|    policy_gradient_loss | 0.00539     |
|    std                  | 2.51        |
|    value_loss           | 10.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 990         |
|    ep_rew_mean          | 684         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 216         |
|    time_elapsed         | 6726        |
|    total_timesteps      | 884736      |
| train/                  |             |
|    approx_kl            | 0.015377594 |
|    clip_fraction        | 0.422       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.58       |
|    explained_variance   | 0.915       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.5         |
|    n_updates            | 2150        |
|    policy_gradient_loss | 0.00491     |
|    std                  | 2.53        |
|    value_loss           | 12.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 992          |
|    ep_rew_mean          | 677          |
| time/                   |              |
|    fps                  | 131          |
|    iterations           | 220          |
|    time_elapsed         | 6851         |
|    total_timesteps      | 901120       |
| train/                  |              |
|    approx_kl            | 0.0129857315 |
|    clip_fraction        | 0.395        |
|    clip_range           | 0.1          |
|    entropy_loss         | -6.64        |
|    explained_variance   | 0.936        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.46         |
|    n_updates            | 2190         |
|    policy_gradient_loss | 0.000301     |
|    std                  | 2.58         |
|    value_loss           | 10.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 993         |
|    ep_rew_mean          | 654         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 224         |
|    time_elapsed         | 6976        |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.012434609 |
|    clip_fraction        | 0.439       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.67       |
|    explained_variance   | 0.896       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.03        |
|    n_updates            | 2230        |
|    policy_gradient_loss | 0.00614     |
|    std                  | 2.63        |
|    value_loss           | 10.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 991         |
|    ep_rew_mean          | 671         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 228         |
|    time_elapsed         | 7103        |
|    total_timesteps      | 933888      |
| train/                  |             |
|    approx_kl            | 0.013250073 |
|    clip_fraction        | 0.392       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.65       |
|    explained_variance   | 0.917       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.583       |
|    n_updates            | 2270        |
|    policy_gradient_loss | 0.00335     |
|    std                  | 2.62        |
|    value_loss           | 10.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 991         |
|    ep_rew_mean          | 679         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 232         |
|    time_elapsed         | 7229        |
|    total_timesteps      | 950272      |
| train/                  |             |
|    approx_kl            | 0.011005261 |
|    clip_fraction        | 0.364       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.66       |
|    explained_variance   | 0.893       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.03        |
|    n_updates            | 2310        |
|    policy_gradient_loss | 0.0024      |
|    std                  | 2.65        |
|    value_loss           | 11.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 996         |
|    ep_rew_mean          | 714         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 236         |
|    time_elapsed         | 7354        |
|    total_timesteps      | 966656      |
| train/                  |             |
|    approx_kl            | 0.013047712 |
|    clip_fraction        | 0.401       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.68       |
|    explained_variance   | 0.887       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.666       |
|    n_updates            | 2350        |
|    policy_gradient_loss | 0.00282     |
|    std                  | 2.68        |
|    value_loss           | 8.96        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 989         |
|    ep_rew_mean          | 731         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 240         |
|    time_elapsed         | 7477        |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.014755853 |
|    clip_fraction        | 0.425       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.69       |
|    explained_variance   | 0.906       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.15        |
|    n_updates            | 2390        |
|    policy_gradient_loss | 0.00561     |
|    std                  | 2.71        |
|    value_loss           | 13.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 984         |
|    ep_rew_mean          | 738         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 244         |
|    time_elapsed         | 7601        |
|    total_timesteps      | 999424      |
| train/                  |             |
|    approx_kl            | 0.011364885 |
|    clip_fraction        | 0.434       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.74       |
|    explained_variance   | 0.939       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.34        |
|    n_updates            | 2430        |
|    policy_gradient_loss | 0.00677     |
|    std                  | 2.78        |
|    value_loss           | 13.2        |
-----------------------------------------
